name	section	chapter	status	how	summary	detail
7.9.5.a	7.9.5	1. Differences between XForms 1.1 and XForms 1.0	pass	values	days-to-date() function	2 quoted value(s) found
7.9.7.a	7.9.7	1. Differences between XForms 1.1 and XForms 1.0	pass	values	seconds-to-dateTime() function	1 quoted value(s) found
7.9.8.a	7.9.8	1. Differences between XForms 1.1 and XForms 1.0	check	-	adjust-dateTime-to-timezone() function	unmatched: 2007-10-02T14:26:43-07:00 / 2007-10-07T02:22:00-07:00 | dump: group '      7.9.8.a adjust-dateTime-to-timezone() function       '; group '      You must see the value "2007-10-07T02:22:00-07:00"(assuming Pacific Standard Time with daylight savings time) for the Test 1 output.     '; group; output 'Tes…
7.10.2.a	7.10.2	1. Differences between XForms 1.1 and XForms 1.0	pass	values	current() function	1 quoted value(s) found
7.11.1.a	7.11.1	1. Differences between XForms 1.1 and XForms 1.0	pass	values	choose() function	4 quoted value(s) found
7.10.4.a	7.10.4	1. Differences between XForms 1.1 and XForms 1.0	check	-	context() function	unmatched: apple / orange / mandarine / tomato / apple / orange / mandarine / tomato | dump: group '    7.10.4.a context() function       '; group '      You must initially see the value "Unknown" for the Bad Fruit picked output and       four triggers labeled "apple", "orange", "mandarine", and "tomato".      When you activate one…
7.8.3.a	7.8.3	1. Differences between XForms 1.1 and XForms 1.0	check	-	digest() function using sha1, md5, and sha256	unmatched: PASS / FAIL | dump: group '7.8.3.a digest() function using sha1, md5, and sha256'; group '  You must see the group label "PASS" for all Tests.   If the function does not return the correct value you will see a group label  with the word "FAIL" and the incorrec…
7.8.4.a	7.8.4	1. Differences between XForms 1.1 and XForms 1.0	check	-	hmac() function using sha1, md5, and sha256	unmatched: PASS / FAIL | dump: group '7.8.4.a hmac() function using sha1, md5, and sha256'; group '  You must see the group label "PASS" for all Tests.   If the function does not return the correct value you will see a group label  with the word "FAIL" and the incorrect …
7.7.7.a	7.7.7	1. Differences between XForms 1.1 and XForms 1.0	review	-	random() function	nothing auto-checkable
7.7.6.a	7.7.6	1. Differences between XForms 1.1 and XForms 1.0	pass	values	power() function	2 quoted value(s) found
7.6.2.a	7.6.2	1. Differences between XForms 1.1 and XForms 1.0	pass	values	is-card-number() function	2 quoted value(s) found
7.7.8.a	7.7.8	1. Differences between XForms 1.1 and XForms 1.0	pass	values	compare() function	3 quoted value(s) found
7.10.3.a	7.10.3	1. Differences between XForms 1.1 and XForms 1.0	pass	values	id() function	3 quoted value(s) found
7.11.2.a	7.11.2	1. Differences between XForms 1.1 and XForms 1.0	check	-	event() function	unmatched: /Dates/date | dump: group '7.11.2.a event() function with inserted-nodes property'; group '      After you activate the Insert A Date trigger you must see the correct value as output.     '; group; trigger 'Insert A Date'; group 'You must see the XPath express…
8.1.5.1.a	8.1.5.1	1. Differences between XForms 1.1 and XForms 1.0	pass	values	mediatype element on output control	1 quoted value(s) found
10.17.a	10.17	1. Differences between XForms 1.1 and XForms 1.0	pass	values	conditional execution of XForms actions	2 quoted value(s) found
10.18.a	10.18	1. Differences between XForms 1.1 and XForms 1.0	pass	values	iteration of XForms actions	1 quoted value(s) found
10.8.a	10.8	1. Differences between XForms 1.1 and XForms 1.0	pass	message	dispatch action now allows event name and target	message 'xforms-rebuild'
10.8.c	10.8	1. Differences between XForms 1.1 and XForms 1.0	pass	message	dispatch action with new delay attribute	message 'xforms-rebuild'
10.7.1.a	10.7.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	setfocus element with control child element	unmatched: Set Focus To Age / Set Focus To DOB | dump: group '10.7.1.a setfocus element with control child element'; group '             The triggers below must shift the focus to the proper form controls when activated.              The "Set Focus To Age" trigger must place the focus into the …
10.6.1.a	10.6.1	1. Differences between XForms 1.1 and XForms 1.0	review	-	toggle element with case child element	nothing auto-checkable
7.10.4.a	7.10.4	1. Differences between XForms 1.1 and XForms 1.0	check	-	setvalue improved with addition of context() function	unmatched: apple / orange / mandarine / tomato / apple / orange / mandarine / tomato | dump: group '    7.10.4.a context() function       '; group '      You must initially see the value "Unknown" for the Bad Fruit picked output and       four triggers labeled "apple", "orange", "mandarine", and "tomato".      When you activate one…
10.a	10	10. XForms Actions	pass	values	action syntax example	1 quoted value(s) found
10.b	10	10. XForms Actions	pass	message	rebuild in action element	message 'xforms:action'
10.c	10	10. XForms Actions	pass	message	recalculate in action element	message 'xforms:action'
10.d	10	10. XForms Actions	pass	message	revalidate in action element	message 'xforms:action'
10.e	10	10. XForms Actions	pass	message	refresh in action element	message 'xforms:action'
10.f	10	10. XForms Actions	pass	message	insert in action element	message 'xforms:action'
10.g	10	10. XForms Actions	pass	message	delete in action element	message 'xforms:action'
10.h	10	10. XForms Actions	pass	message	setvalue in action element	message 'xforms:action'
10.i	10	10. XForms Actions	pass	message	reset in action element	message 'xforms-rebuild'
10.1.a	10.1	10. XForms Actions	pass	values	action element	1 quoted value(s) found
10.2.a	10.2	10. XForms Actions	check	-	setvalue elements with expression or literal	unmatched: Toyoto | dump: group '10.2.a setvalue elements with expression or literal'; group '        You must see the value "white" in the Color output control, the value         "excellent" in the Condition output control, and the value "Toyoto"       in the Make …
10.2.b	10.2	10. XForms Actions	pass	values	setvalue element with expression and literal, element with neither	3 quoted value(s) found
10.3.a	10.3	10. XForms Actions	review	-	insert action using context attribute	nothing auto-checkable
10.3.b	10.3	10. XForms Actions	review	-	insert action with bind and model attributes	nothing auto-checkable
10.3.c	10.3	10. XForms Actions	review	-	insert action using origin attribute	nothing auto-checkable
10.3.d	10.3	10. XForms Actions	review	-	insert action using at attribute	nothing auto-checkable
10.3.e	10.3	10. XForms Actions	review	-	insert action using position attribute	nothing auto-checkable
10.3.f	10.3	10. XForms Actions	pass	values	insert action in repeat bound to collection	1 quoted value(s) found
10.3.g	10.3	10. XForms Actions	pass	values	insert action - nodeset indicates root element	1 quoted value(s) found
10.3.h	10.3	10. XForms Actions	check	-	insert action and repeat element	unmatched: 1 / 3 / 3 / 1 | dump: group '10.3.h insert action and repeat element'; group '               You must see the correct values for the two output controls both before and after                activating the Perform Insert trigger. The conditions change after the t…
10.3.i	10.3	10. XForms Actions	pass	values	insert action - xforms-insert event	1 quoted value(s) found
10.3.j	10.3	10. XForms Actions	check	-	insert action - copying an attribute	unmatched: 6.00 / 5.00 / 4.00 | dump: group '10.3.j insert action - copying an attribute'; group 'You must not see the value "4.00" : '; output [hidden]; group 'You must not see the value "5.00" : '; output [hidden]; group 'You must not see the value "6.00" : '; output = 3.00
10.4.a	10.4	10. XForms Actions	review	-	delete action using context attribute	nothing auto-checkable
10.4.b	10.4	10. XForms Actions	review	-	delete action using context and bind attributes	nothing auto-checkable
10.4.c	10.4	10. XForms Actions	review	-	delete action using context attribute terminates with no effect	nothing auto-checkable
10.4.d	10.4	10. XForms Actions	review	-	delete action using at attribute	nothing auto-checkable
10.4.e	10.4	10. XForms Actions	pass	message	delete element rules	message 'xforms-delete'
10.4.f	10.4	10. XForms Actions	review	-	delete action and repeat element	nothing auto-checkable
10.4.g	10.4	10. XForms Actions	review	-	delete action with xforms-delete event	no message observed (form defines 1)
10.5.a	10.5	10. XForms Actions	pass	message	setindex element rules	message 'xforms-scroll-last'
10.6.a	10.6	10. XForms Actions	check	-	events dispatched by toggle element	unmatched: out / in / in / out | dump: group '10.6.a events dispatched by toggle element'; group '     If you are in the "in" case and you activate the Show Out Case trigger     you must see an xforms-deselect(in) message followed by an      xforms-select(out) message.      If y…
10.6.1.a	10.6.1	10. XForms Actions	review	-	case element child of the toggle element	nothing auto-checkable
10.6.1.b	10.6.1	10. XForms Actions	review	-	case element child of the toggle element precedence testing	nothing auto-checkable
10.7.a	10.7	10. XForms Actions	pass	values	setfocus element	2 quoted value(s) found
10.7.1.a	10.7.1	10. XForms Actions	check	-	setfocus element with control child element	unmatched: Set Focus To Age / Set Focus To DOB | dump: group '10.7.1.a setfocus element with control child element'; group '             The triggers below must shift the focus to the proper form controls when activated.              The "Set Focus To Age" trigger must place the focus into the …
10.7.1.b	10.7.1	10. XForms Actions	check	-	control element precedence tests	unmatched: Set Focus To Age / Set Focus To DOB | dump: group '10.7.1.b control element precedence tests'; group '             The triggers below must shift the focus to the proper form controls when activated.              The "Set Focus To Age" trigger must place the focus into the input contr…
10.8.a	10.8	10. XForms Actions	pass	message	dispatch element dispatches predefined event	message 'xforms-rebuild'
10.8.b	10.8	10. XForms Actions	pass	message	dispatch element dispatches custom event	message 'custom-event'
10.8.c	10.8	10. XForms Actions	pass	message	dispatch element with delay attribute	message 'xforms-rebuild'
10.8.d	10.8	10. XForms Actions	pass	message	dispatch element dispatches custom event that bubbles	message 'Child Element'
10.8.e	10.8	10. XForms Actions	pass	message	dispatch element dispatches cancelled custom event	message 'custom-event'
10.8.f	10.8	10. XForms Actions	check	-	dispatch element dispatches cancelled predefined event	unmatched: Audi | dump: group '10.8.f dispatch element dispatches cancelled predefined event'; group '       When you activate the Reset trigger the value in the input control must NOT change to "Audi".    '; trigger 'Reset'; input 'Car Input : ' = Kia
10.8.1.a	10.8.1	10. XForms Actions	pass	message	dispatch element with name child element	message 'xforms-rebuild'
10.8.1.b	10.8.1	10. XForms Actions	pass	message	name element has precedence over attribute	message 'xforms-rebuild'
10.8.1.c	10.8.1	10. XForms Actions	pass	message	value attribute has precedence in name element	message 'xforms-rebuild'
10.8.2.a	10.8.2	10. XForms Actions	pass	message	dispatch element with target child element	message 'custom-event'
10.8.2.b	10.8.2	10. XForms Actions	pass	message	target element has precedence over attribute	message 'custom-event'
10.8.2.c	10.8.2	10. XForms Actions	pass	message	value attribute has precedence in target element	message 'custom-event'
10.8.3.a	10.8.3	10. XForms Actions	pass	message	dispatch element with delay child element	message 'xforms-rebuild'
10.8.3.b	10.8.3	10. XForms Actions	pass	message	delay element has precedence over attribute	message 'xforms-rebuild'
10.8.3.c	10.8.3	10. XForms Actions	pass	message	value attribute has precedence in delay element	message 'xforms-rebuild'
10.13.a	10.13	10. XForms Actions	pass	message	reset element	message 'xforms-reset'
10.13.b	10.13	10. XForms Actions	pass	values	reset element with model attribute	2 quoted value(s) found
10.14.a	10.14	10. XForms Actions	review	-	load element attributes	nothing auto-checkable
10.14.b	10.14	10. XForms Actions	review	-	show attribute of load element	nothing auto-checkable
10.14.1.a	10.14.1	10. XForms Actions	review	-	load element with resource child element	nothing auto-checkable
10.14.1.b	10.14.1	10. XForms Actions	review	-	value attribute has precedence in load element	nothing auto-checkable
10.15.a	10.15	10. XForms Actions	review	-	send element	no message observed (form defines 2)
10.16.a	10.16	10. XForms Actions	pass	message	message element using single node binding	message 'Instance Message'
10.16.b	10.16	10. XForms Actions	pass	message	level attribute of message element	message 'Modal Message'
10.16.c	10.16	10. XForms Actions	check	-	message element interface created at run time	unmatched: Hello, world! | dump: group '10.16.c message element interface created at run time'; group '     When you activate the See Message trigger you must see a message that says "Hello, world!".    '; group; trigger 'See Message'
10.17.a	10.17	10. XForms Actions	pass	values	conditional execution of XForms actions	2 quoted value(s) found
10.17.b	10.17	10. XForms Actions	pass	message	conditional execution of XForms actions using action element	message 'This is the positive test'
10.17.c	10.17	10. XForms Actions	review	-	conditional execution of XForms actions - Automatic Focus Advancement example	nothing auto-checkable
10.17.d	10.17	10. XForms Actions	review	-	conditional execution of XForms actions - Handling Focus for Empty Repeats example	nothing auto-checkable
10.18.a	10.18	10. XForms Actions	pass	values	iteration of XForms actions	1 quoted value(s) found
10.18.b	10.18	10. XForms Actions	pass	values	iteration of XForms actions using action element	1 quoted value(s) found
10.18.c	10.18	10. XForms Actions	pass	values	iteration executed zero times	1 quoted value(s) found
10.18.d	10.18	10. XForms Actions	pass	values	XForms actions with if and while attributes	1 quoted value(s) found
10.18.e	10.18	10. XForms Actions	pass	values	iteration of XForms actions - Summing Selected Results example	2 quoted value(s) found
11.1.a	11.1	11. The XForms Submission Module	check	-	ref attribute of submission element	unmatched: white / Acura / Integra / Acura / Integra / white | dump: group '11.1.a ref attribute of submission element'; group '     When you activate the Submit Make And Model trigger the page must be replaced by the form data.      The form data must contain the values "Acura" and "Integra", but not the va…
11.1.b	11.1	11. The XForms Submission Module	check	-	bind attribute of submission element	unmatched: white / Acura / 1994 / 120 | dump: group '11.1.b bind attribute of submission element'; group '         When you activate the Submit trigger the page must be replaced by the form data. You must see the value          "white" in the form data. You must not see the values "Acu…
11.1.c	11.1	11. The XForms Submission Module	check	-	resource attribute of submission element	unmatched: white / Acura / Integra / Acura / Integra / white | dump: group '11.1.c resource attribute of submission element'; group '     When you activate the Submit Make And Model trigger the page must be replaced by the form data.      The form data must contain the values "Acura" and "Integra", but not t…
11.1.d	11.1	11. The XForms Submission Module	check	-	action attribute of submission element	unmatched: Subaru / Impreza WRX STi / 2005 | dump: group '11.1.d action attribute of submission element'; group '               When you activate the Submit trigger the page must be replaced by the form data.         The form data must contain the values "Subaru" and "Impreza WRX STi", and …
11.1.e	11.1	11. The XForms Submission Module	check	-	mode attribute of submission element	unmatched: white | dump: group '11.1.e mode attribute of submission element'; group '         Each submit control below submits the form with a different mode. Both must replace the page                with form data containing the value "white".        '; submit '…
11.1.f	11.1	11. The XForms Submission Module	check	-	method attribute of submission element	unmatched: Infiniti / G35x / 2005 | dump: group '11.1.f method attribute of submission element'; group '               Each submit control below submits the form with a different method. Both must replace the page                with form data containing the values "Infiniti", "G35…
11.1.h	11.1	11. The XForms Submission Module	pass	message	validate attribute of submission element	message 'xforms-submit-error'
11.1.i	11.1	11. The XForms Submission Module	check	-	relevant attribute of submission element	unmatched: Suzuki / Hayabusa 1300 / Suzuki / Hayabusa 1300 / 2006-04-26 | dump: group '11.1.i relevant attribute of submission element'; group '     Both submit controls must replace the page with the form data when activated.      When you activate the Submit (relevant=true) submit control you must see the values "Suz…
11.1.j	11.1	11. The XForms Submission Module	check	-	serialization attribute of submission element	unmatched: blue | dump: group '11.1.j serialization attribute of submission element'; group '        When you activate the Submit With Serialization submit control the page must be replaced by the form data. The         value "blue" must not appear in the request …
11.1.k	11.1	11. The XForms Submission Module	check	-	version attribute of submission element	unmatched: 1.0 / 1.1 | dump: group '11.1.k version attribute of submission element (non-normative)'; group '       Each submit control below replaces the page with the form instance data. The Submit As 1.0 submits the        form with a submission element that has a ve…
11.1.l	11.1	11. The XForms Submission Module	check	-	indent attribute of submission element	unmatched: no / yes | dump: group '11.1.l indent attribute of submission element (non-normative)'; group '       Each submit control below replaces the page with the form instance data. The Submit Without indent        submits the form with a submission element that h…
11.1.m	11.1	11. The XForms Submission Module	check	-	mediatype attribute of submission element	unmatched: application/xml | dump: group '11.1.m mediatype attribute of submission element'; group '        When you activate the Submit submit control the page must be replaced by the form data.         The variable on the page for the content type must equal the value "app…
11.1.n	11.1	11. The XForms Submission Module	check	-	encoding attribute of submission element	unmatched: encoding= / encoding= | dump: group '11.1.n encoding attribute of submission element'; group '        When you activate the Submit (UTF-8) control you must see the value         " encoding="UTF-8" " at the top of the form data.         When you activate the Submit (ISO)…
11.1.o	11.1	11. The XForms Submission Module	check	-	omit-xml-declaration attribute of submission element	unmatched: <?xml version= / encoding= / ?> | dump: group '11.1.o omit-xml-declaration attribute of submission element'; group '        After activating the Submit control the page must be replaced by the instance data. You must         not see the value "<?xml version="1.0" encoding="UTF-8"…
11.1.p	11.1	11. The XForms Submission Module	check	-	standalone attribute of submission element	unmatched: standalone= / standalone= / standalone= / standalone= | dump: group '11.1.p standalone attribute of submission element'; group '        When you activate the Submit With Standalone true submit control you must see a standalone         declaration in the form data. It may appear as the value " standalo…
11.1.q	11.1	11. The XForms Submission Module	check	-	cdata-section-elements attribute of submission element	unmatched: year / make / make / <make><![CDATA[Toyota]]><model>Acura</model><![CDATA[]]></make> / year / <year><![CDATA[2005]]></year> | dump: group '11.1.q cdata-section-elements attribute of submission element'; group '        When you activate the Submit (cdata="make") submit control you must see the value         " <make><![CDATA[Toyota]]><model>Acura</model><![CDATA[]]></make…
11.1.r	11.1	11. The XForms Submission Module	check	-	replace attribute of submission element	unmatched: Janel / Saturn / red | dump: group '11.1.r replace attribute of submission element'; group '      You must see the values "Henry", "Acura", and "white" in the First       Instance. You must see the values "Thomas", "Toyota", and "silver" in       the Second Instance. W…
11.1.s1	11.1	11. The XForms Submission Module	check	-	instance attribute of submission element	unmatched: This is the response data. | dump: group '11.1.s1 instance attribute of submission element'; group '               When you activate one of the submit controls below the text next to that submit must change to                "This is the response data."               Only th…
11.1.s2	11.1	11. The XForms Submission Module	review	-	invalid instance attribute of submission element	no message observed (form defines 1)
11.1.t	11.1	11. The XForms Submission Module	check	-	target attribute of submission element	unmatched: Janel / Saturn / red | dump: group '11.1.t targetref attribute of submission element'; group '      You must see the values "Thomas", "Toyota", and "silver" in the output       controls. When you activate the Replace Instance submit control the values must change to   …
11.1.u	11.1	11. The XForms Submission Module	check	-	separator attribute of submission element	unmatched: carOwner=Greg / make=Toyota / color=Silver | dump: group '11.1.u separator attribute of submission element'; group '              Both submit controls below replace this page with the form data.               The instance data for this page is the values "carOwner=Greg", "make=Toyota" and  …
11.1.v	11.1	11. The XForms Submission Module	check	-	includenamespaceprefixes attribute of submission element	unmatched: <my:car xmlns:my= / > | dump: group '11.1.v includenamespaceprefixes attribute of submission element'; group '        When you activate the Submit submit control the page must be replaced by the form data.         You must see the namespace " <my:car xmlns:my="http://ww…
11.2.a	11.2	11. The XForms Submission Module	pass	message	only one concurrent submit per submission element	message 'xforms-submit'
11.2.b	11.2	11. The XForms Submission Module	check	-	non-relevant nodes are not serialized	unmatched: a / a | dump: group '11.2.b non-relevant nodes are not serialized'; group '               When you activate the Show submit control the page must be replaced by the form data.                You must see the values <data>, <test1 x=""/>, <test2 x="a"/>, …
11.2.c	11.2	11. The XForms Submission Module	pass	values	xforms-submit with empty instance data	1 quoted value(s) found
11.2.d	11.2	11. The XForms Submission Module	pass	values	xforms-submit with empty instance data and required attribute	1 quoted value(s) found
11.2.e	11.2	11. The XForms Submission Module	pass	values	xforms-submit stops with invalid instance data	1 quoted value(s) found
11.3.a	11.3	11. The XForms Submission Module	pass	message	xforms-submit-serialize event	message 'xforms-submit-serialize'
11.3.b	11.3	11. The XForms Submission Module	pass	message	xforms-submit-serialize event with submission-body property	message 'xforms-submit-serialize'
11.4.a	11.4	11. The XForms Submission Module	review	-	xforms-submit-done event	no message observed (form defines 1)
11.4.b	11.4	11. The XForms Submission Module	review	-	accessing context information for xforms-submit-done event	nothing auto-checkable
11.5.a	11.5	11. The XForms Submission Module	pass	message	xforms-submit-error event	message 'xforms-submit-error'
11.5.b	11.5	11. The XForms Submission Module	pass	values	accessing context information for xforms-submit-error event	2 quoted value(s) found
11.6.1.a	11.6.1	11. The XForms Submission Module	pass	message	resource element	message 'Unable to submit'
11.6.1.b	11.6.1	11. The XForms Submission Module	pass	message	resource element with value attribute	message 'Unable to submit'
11.7.1.a	11.7.1	11. The XForms Submission Module	check	-	method element with value attribute	unmatched: post | dump: group '11.7.1.a method element'; group '           When the Submit With Method trigger is activated the page will be replaced by the form data.            The variable on the page for the request method must equal "post".    '; submit 'Subm…
11.8.a	11.8	11. The XForms Submission Module	check	-	header element of submission element	unmatched: myHeader1 / myHeader2 / myValue1 / myValue2 | dump: group '11.8.a header element of submission element'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         variables you must see two headers named "myHeader1" and "myHe…
11.8.b	11.8	11. The XForms Submission Module	check	-	header element with nodeset attribute	unmatched: myHeader | dump: group '11.8.b header element with nodeset attribute'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         variables you must see three headers named "myHeader".       …
11.8.c	11.8	11. The XForms Submission Module	check	-	header element of submission element	unmatched: myHeader / myValue1,myValue2,myValue1,myValue2,myValue3,myValue4,myValue4 | dump: group '11.8.c header element with similar name elements'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         variables you must see one header named "myHeader".      …
11.8.1.a	11.8.1	11. The XForms Submission Module	check	-	name element with value attribute	unmatched: myHeader / wrongData | dump: group '11.8.1.a name element with value attribute'; group '        When you activate the Submit Now submit control the page must be replaced by the form data.         Among the variables you must see a header named "myHeader". You must not …
11.8.1.b	11.8.1	11. The XForms Submission Module	check	-	name element with empty value attribute	unmatched: myValue | dump: group '11.8.1.b name element with empty value attribute'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         list you must not see a header with the value "myValue". …
11.8.2.a	11.8.2	11. The XForms Submission Module	check	-	value element with value attribute	unmatched: myHeader / three / wrongValue | dump: group '11.8.2.a value element with value attribute'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         variables you must see a header named "myHeader" with a value …
